,platform,board,thread_no,header,body
0,8chan,patriotsfight,440,"<input type=""checkbox"" name=""delete_440"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_440"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/10/18 (Sat) 01:23:10</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23440"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q440"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">440</a><i title=""Locked"" style=""text-align:left;display:inline-block;font:normal normal normal 14px/1 FontAwesome;text-rendering:auto;-webkit-font-smoothing:antialiased;font-size:16px;margin: 0px 4px; ""><span style=""""></span></i><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);cursor:pointer;margin-left:5px;"" target=""_blank"">[Watch Thread]</a><a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin-left:5px;cursor:not-allowed"" target=""_blank"">[Feature Thread]</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin-left:5px;"" target=""_blank"">[Show All Posts]</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Future Comms]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Pre_stage ele_y</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Pre_stage sec_y</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Pre_stage dir_y</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Pre_stage cap_y</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[OnReady]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Q</div>"
1,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_441"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_441"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/10/18 (Sat) 01:48:05</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23441"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q441"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">441</a>","<div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div>"
2,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_455"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_455"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/11/18 (Sun) 19:39:14</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23455"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q455"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">455</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - Indictments Tracking &gt; Civ]</div>"
3,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_456"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_456"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/11/18 (Sun) 19:39:32</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23456"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q456"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">456</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - Indictments Tracking &gt; Non_Civ]</div>"
4,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_457"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_457"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/11/18 (Sun) 19:39:52</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23457"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q457"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">457</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - SC rulings re: challenges re: Civ Non_Civ]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - SC rulings re: USA v Def appeals]</div>"
5,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_458"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_458"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/11/18 (Sun) 19:40:15</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23458"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q458"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">458</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - Branch termination(s)]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - Leak(s)]</div>"
6,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_459"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_459"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/11/18 (Sun) 19:40:57</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23459"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q459"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">459</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - Acts of Treason + support Articles]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - Foreign Acts_pub]</div>"
7,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_460"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_460"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/11/18 (Sun) 19:41:25</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23460"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q460"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">460</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - FVEY_pub]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - FISA_pub]</div>"
8,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_461"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_461"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/11/18 (Sun) 19:41:55</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23461"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q461"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">461</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - DECLAS GEN_pub]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - SPEC_C_pub]</div>"
9,8chan,patriotsfight,440,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_463"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_463"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Q
</span><span style=""text-align:left;color:rgb(34, 136, 84);"">!!mG7VJxZNCI</span>&nbsp;
<time title=""9 months ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">11/12/18 (Mon) 17:30:42</time></label>&nbsp;<a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23463"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/F6Jrb/https://8ch.net/patriotsfight/res/440.html%23q463"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">463</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG Report &amp; Findings]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG report &gt; FBI, DOJ, &amp; Media Coll]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG report &gt; Exe B_ABCs &amp; Media Coll]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG report &gt; Foreign ASST_D1]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG report &gt; Foreign_Insert(s)_ORec &amp; Info Diss]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG report &gt; FISA Abuse DIR_INDIR_Source_DIS]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG report &gt; Umbrella SPY &amp; Targeting]</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">[Placeholder - OIG report &gt; OTR_C_]</div>"
