,platform,board,thread_no,header,body
0,8chan,pol,11113218,"<input type=""checkbox"" name=""delete_11113218"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113218"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(15, 12, 93);font-weight:bold;"">B/anon/ unloads on Trump? ""Russian meeting Treason""</span>
<span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 15:34:03</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>9ef4f3</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113218"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113218"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113218</a><span style=""text-align:left;font-size:10px;word-wrap:break-word;""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113289"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);font-size:10px;margin-left:5px;"" target=""_blank"">&gt;&gt;11113289</a>
<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113313"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);font-size:10px;margin-left:5px;"" target=""_blank"">&gt;&gt;11113313</a>
<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113591"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);font-size:10px;margin-left:5px;"" target=""_blank"">&gt;&gt;11113591</a>
</span><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);cursor:pointer;margin-left:5px;"" target=""_blank"">[Watch Thread]</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin-left:5px;"" target=""_blank"">[Show All Posts]</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">fake news? or is bannon being misquoted?</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""><span style=""text-align:left;color:rgb(175, 10, 15);font-size:11pt;font-weight:bold;"">‘They’re going to crack Don Junior like an egg on national TV""</span></div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Trump Tower meeting with Russians 'treasonous', Bannon says in explosive book </div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Donald Trump’s former chief strategist Steve Bannon has described the Trump Tower meeting between the president’s son and a group of Russians during the 2016 election campaign as “treasonous” and “unpatriotic”, according to an explosive new book seen by the Guardian.</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Trump-Russia investigation: the key questions answered</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Read more</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Bannon, speaking to author Michael Wolff, warned that the investigation into alleged collusion with the Kremlin will focus on money laundering and predicted: “They’re going to crack Don Junior like an egg on national TV.”</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Fire and Fury: Inside the Trump White House, reportedly based on more than 200 interviews with the president, his inner circle and players in and around the administration, is one of the most eagerly awaited political books of the year. In it, Wolff lifts the lid on a White House lurching from crisis to crisis amid internecine warfare, with even some of Trump’s closest allies expressing contempt for him.</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Bannon, who was chief executive of the Trump campaign in its final three months, then White House chief strategist for seven months before returning to the rightwing Breitbart News, is a central figure in the nasty, cutthroat drama, quoted extensively, often in salty language.</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">He is particularly scathing about a June 2016 meeting involving Trump’s son Donald Jr, son-in-law Jared Kushner, then campaign chairman Paul Manafort and Russian lawyer Natalia Veselnitskaya at Trump Tower in New York. A trusted intermediary had promised documents that would “incriminate” rival Hillary Clinton but instead of alerting the FBI to a potential assault on American democracy by a foreign power, Trump Jr replied in an email: “I love it.”</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">The meeting was revealed by the New York Times in July last year, prompting Trump Jr to say no consequential material was produced. Soon after, Wolff writes, Bannon remarked mockingly: “The three senior guys in the campaign thought it was a good idea to meet with a foreign government inside Trump Tower in the conference room on the 25th floor – with no lawyers. They didn’t have any lawyers.</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">“Even if you thought that this was not treasonous, or unpatriotic, or bad shit, and I happen to think it’s all of that, you should have called the FBI immediately.”</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Bannon went on, Wolff writes, to say that if any such meeting had to take place, it should have been set up “in a Holiday Inn in Manchester, New Hampshire, with your lawyers who meet with these people”. Any information, he said, could then be “dump[ed] … down to Breitbart or something like that, or maybe some other more legitimate publication”.</div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Bannon added: “You never see it, you never know it, because you don’t need to … But that’s the brain trust that they had.”</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">https<em style=""text-align:left;"">:</em>//archive.is/fT5S7</div>"
1,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113238"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113238"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 15:42:01</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>16238b</span><span style=""text-align:left;display:none;"">
(2)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113238"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113238"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113238</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">It's getting rather hard to keep up our blind support of every single fashy based neocon jew anymore</div>"
2,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113269"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113269"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 15:54:24</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>331b50</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113269"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113269"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113269</a><span style=""text-align:left;font-size:10px;word-wrap:break-word;""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113841"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);font-size:10px;margin-left:5px;"" target=""_blank"">&gt;&gt;11113841</a>
</span>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Distractions. </div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">""Hey don't think about Hillary and the storm…Huma's treason, lap tops etc…Look over here at this shiny thing""</div>"
3,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113289"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113289"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 16:04:25</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>993e7e</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113289"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113289"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113289</a><span style=""text-align:left;font-size:10px;word-wrap:break-word;""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311115382"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);font-size:10px;margin-left:5px;"" target=""_blank"">&gt;&gt;11115382</a>
<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311116116"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);font-size:10px;margin-left:5px;"" target=""_blank"">&gt;&gt;11116116</a>
</span>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113218"" style=""text-align:left;text-decoration:underline;color:rgb(221, 0, 0);"" target=""_blank"">&gt;&gt;11113218</a> <small style=""text-align:left;"">(OP)</small></div><div style=""text-align:left;color:rgb(120, 153, 34);direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">&gt;fake news? or is bannon being misquoted?</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Don't know, don't care. Modern Russia isn't an enemy of the American people, but communists goddamn well are. Fighting communists is always necessarily patriotic, even if it means accepting help from a nation formerly occupied by communists. In fact, who better to help fight them?</div>"
4,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113298"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113298"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 16:06:43</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>c0e91f</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113298"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113298"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113298</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Another leak test from the administration?</div>"
5,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113313"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113313"" style=""text-align:left;display:inline;""><a href=""mailto:sage"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""><span style=""text-align:left;font-weight:bold;color:rgb(52, 52, 92);"">Anonymous</span></a>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 16:11:54</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>e62182</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113313"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113313"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113313</a><span style=""text-align:left;font-size:10px;word-wrap:break-word;""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113583"" style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);font-size:10px;margin-left:5px;"" target=""_blank"">&gt;&gt;11113583</a>
</span>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113218"" style=""text-align:left;text-decoration:underline;color:rgb(221, 0, 0);"" target=""_blank"">&gt;&gt;11113218</a> <small style=""text-align:left;"">(OP)</small></div><div style=""text-align:left;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Obvious bullshit, and there's already a thread on this. Check the catalog.</div>"
6,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113314"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113314"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 16:12:00</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>afaaee</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113314"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113314"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113314</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">The Goldmann Sachs takes off his mask.</div>"
7,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113321"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113321"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 16:15:41</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>29e72f</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113321"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113321"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113321</a>","<div style=""text-align:left;color:rgb(120, 153, 34);direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">&gt;have evidence</div><div style=""text-align:left;color:rgb(120, 153, 34);direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">&gt;write book</div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Seems legit.</div>"
8,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113583"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113583"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 17:55:43</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>2907cb</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113583"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113583"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113583</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113313"" style=""text-align:left;text-decoration:underline;color:rgb(221, 0, 0);"" target=""_blank"">&gt;&gt;11113313</a></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">where?</div>"
9,8chan,pol,11113218,"<a style=""text-align:left;text-decoration:underline;color:rgb(52, 52, 92);margin: 0px; "" target=""_blank""></a><input type=""checkbox"" name=""delete_11113591"" value="""" style=""text-align:left;float:left;display:none;margin: 1px 6px 0px 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23"" title=""Post menu"" style=""color:rgb(52, 52, 92);width:15px;text-align:center;font-size:10pt;opacity:0.8;text-decoration:none;display:inline-block;margin: -6px 0px 0px -5px; "" target=""_blank"">▶</a><label for=""delete_11113591"" style=""text-align:left;display:inline;""><span style=""text-align:left;color:rgb(17, 119, 67);font-weight:bold;"">Anonymous</span>&nbsp;
<time title=""2 days ago"" style=""text-align:left;direction:ltr;unicode-bidi:embed;"">01/03/18 (Wed) 17:57:36</time></label>
<span style=""text-align:left;cursor:pointer;white-space:nowrap;""><span style=""""> ID: </span>43513b</span><span style=""text-align:left;display:none;"">
(1)</span>&nbsp;<a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113591"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">No.</a><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%23q11113591"" style=""text-align:left;text-decoration:none;color:inherit;margin: 0px; padding: 0px; "" target=""_blank"">11113591</a>","<div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; ""><a href=""https://archive.is/o/S5DtP/https://8ch.net/pol/res/11113218.html%2311113218"" style=""text-align:left;text-decoration:underline;color:rgb(221, 0, 0);"" target=""_blank"">&gt;&gt;11113218</a> <small style=""text-align:left;"">(OP)</small></div><div style=""text-align:left;direction:ltr;display:block;line-height:1.16em;font-size:13px;min-height:1.16em;margin: 0px; "">Wasn't this months ago? The whole Don Jr. Meeting thing? Didn't that not pan out?</div>"
